Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
110,Stefan Lainer,at AUT,DF,Gladbach,31,"€ 48,077 (£ 40,581, $49,559)","€ 2,500,000 (£ 2,110,191, $2,577,075)",Unverified estimation
111,Chris Führich,de GER,"MF,FW",Stuttgart,26,"€ 48,077 (£ 40,581, $49,559)","€ 2,500,000 (£ 2,110,191, $2,577,075)",
112,Leonardo Bittencourt,de GER,MF,Werder Bremen,30,"€ 48,077 (£ 40,581, $49,559)","€ 2,500,000 (£ 2,110,191, $2,577,075)",
113,Naby Keïta,gn GUI,CM,Werder Bremen,29,"€ 48,077 (£ 40,581, $49,559)","€ 2,500,000 (£ 2,110,191, $2,577,075)",
114,Christoph Baumgartner,at AUT,MF,RB Leipzig,24,"€ 48,077 (£ 40,581, $49,559)","€ 2,500,000 (£ 2,110,191, $2,577,075)",Unverified estimation
115,Kevin Kampl,si SVN,MF,RB Leipzig,33,"€ 48,077 (£ 40,581, $49,559)","€ 2,500,000 (£ 2,110,191, $2,577,075)",Unverified estimation
116,Gio Reyna,us USA,MF,Dortmund,21,"€ 48,077 (£ 40,581, $49,559)","€ 2,500,000 (£ 2,110,191, $2,577,075)",Unverified estimation
117,Robin Koch,de GER,DF,Eint Frankfurt,28,"€ 47,308 (£ 39,931, $48,766)","€ 2,460,000 (£ 2,076,428, $2,535,842)",
118,Frank Onyeka,ng NGA,MF,Augsburg,26,"€ 47,115 (£ 39,769, $48,568)","€ 2,450,000 (£ 2,067,987, $2,525,534)",Unverified estimation
119,Tim Kleindienst,de GER,FW,Gladbach,28,"€ 47,115 (£ 39,769, $48,568)","€ 2,450,000 (£ 2,067,987, $2,525,534)",Unverified estimation
120,Luca Netz,de GER,DF,Gladbach,21,"€ 46,154 (£ 38,957, $47,577)","€ 2,400,000 (£ 2,025,783, $2,473,992)",Unverified estimation
121,Kevin Volland,de GER,"FW,MF",Union Berlin,32,"€ 46,154 (£ 38,957, $47,577)","€ 2,400,000 (£ 2,025,783, $2,473,992)",Unverified estimation
122,Emi Buendía,ar ARG,MF,Leverkusen,27,"€ 45,385 (£ 38,268, $50,799)","€ 2,360,000 (£ 1,989,933, $2,641,564)",Unverified estimation
123,Leo Skiri Østigård,no NOR,DF,Hoffenheim,24,"€ 43,462 (£ 36,646, $48,647)","€ 2,260,000 (£ 1,905,614, $2,529,633)",Unverified estimation
124,Valentin Gendrey,fr FRA,DF,Hoffenheim,24,"€ 43,462 (£ 36,685, $44,801)","€ 2,260,000 (£ 1,907,612, $2,329,676)",Unverified estimation
125,Kristijan Jakić,hr CRO,MF,Augsburg,27,"€ 43,462 (£ 36,685, $44,801)","€ 2,260,000 (£ 1,907,612, $2,329,676)",Unverified estimation
126,Marvin Ducksch,de GER,FW,Werder Bremen,30,"€ 43,462 (£ 36,685, $44,801)","€ 2,260,000 (£ 1,907,612, $2,329,676)",Unverified estimation
127,Nicolas Seiwald,at AUT,"MF,DF",RB Leipzig,23,"€ 42,308 (£ 35,711, $43,612)","€ 2,200,000 (£ 1,856,968, $2,267,826)",Unverified estimation
128,Dennis Geiger,de GER,"MF,FW",Hoffenheim,26,"€ 41,538 (£ 35,062, $42,819)","€ 2,160,000 (£ 1,823,205, $2,226,593)",Unverified estimation
129,Marius Bülter,de GER,"FW,DF",Hoffenheim,31,"€ 40,385 (£ 34,088, $41,630)","€ 2,100,000 (£ 1,772,560, $2,164,743)",Unverified estimation
130,Maximilian Philipp,de GER,"MF,FW",Freiburg,30,"€ 40,385 (£ 34,088, $41,630)","€ 2,100,000 (£ 1,772,560, $2,164,743)",Unverified estimation
131,Alexander Prass,at AUT,DF,Hoffenheim,23,"€ 40,000 (£ 33,763, $41,233)","€ 2,080,000 (£ 1,755,679, $2,144,127)",Unverified estimation
132,Gift Emmanuel Orban,,CF,Hoffenheim,22,"€ 40,000 (£ 33,728, $44,772)","€ 2,080,000 (£ 1,753,839, $2,328,158)",Unverified estimation
133,Marius Wolf,de GER,DF,Augsburg,29,"€ 40,000 (£ 33,763, $41,233)","€ 2,080,000 (£ 1,755,679, $2,144,127)",Unverified estimation
134,Jonas Wind,dk DEN,"FW,MF",Wolfsburg,25,"€ 39,231 (£ 33,114, $40,440)","€ 2,040,000 (£ 1,721,916, $2,102,893)",Unverified estimation
135,Attila Szalai,hu HUN,"DF,MF",Hoffenheim,26,"€ 38,462 (£ 32,464, $39,647)","€ 2,000,000 (£ 1,688,153, $2,061,660)",Unverified estimation
136,Pavel Kadeřábek,cz CZE,DF,Hoffenheim,32,"€ 38,462 (£ 32,464, $39,647)","€ 2,000,000 (£ 1,688,153, $2,061,660)",Unverified estimation
137,Sven Ulreich,de GER,GK,Bayern Munich,35,"€ 38,462 (£ 32,464, $39,647)","€ 2,000,000 (£ 1,688,153, $2,061,660)",Unverified estimation
138,Paul Wanner,de GER,"MF,FW",Heidenheim,18,"€ 38,462 (£ 32,464, $39,647)","€ 2,000,000 (£ 1,688,153, $2,061,660)",
139,Marvin Friedrich,de GER,DF,Gladbach,28,"€ 38,462 (£ 32,464, $39,647)","€ 2,000,000 (£ 1,688,153, $2,061,660)",
140,Lukas Nmecha,de GER,"FW,MF",Wolfsburg,25,"€ 38,462 (£ 32,464, $39,647)","€ 2,000,000 (£ 1,688,153, $2,061,660)",Unverified estimation
141,Patrick Wimmer,at AUT,"MF,FW",Wolfsburg,23,"€ 38,462 (£ 32,464, $39,647)","€ 2,000,000 (£ 1,688,153, $2,061,660)",Unverified estimation
142,Victor Boniface,,CF,Leverkusen,24,"€ 38,462 (£ 32,464, $39,647)","€ 2,000,000 (£ 1,688,153, $2,061,660)",Unverified estimation
143,Mitchell Weiser,de GER,"DF,MF",Werder Bremen,30,"€ 38,077 (£ 32,140, $39,251)","€ 1,980,000 (£ 1,671,271, $2,041,044)",Unverified estimation
144,David Jurásek,,LB,Hoffenheim,24,"€ 36,923 (£ 31,166, $38,061)","€ 1,920,000 (£ 1,620,627, $1,979,194)",Unverified estimation
145,Anton Stach,de GER,"MF,DF",Hoffenheim,25,"€ 36,538 (£ 30,841, $37,665)","€ 1,900,000 (£ 1,603,745, $1,958,577)",Unverified estimation
146,Joakim Mæhle,dk DEN,DF,Wolfsburg,27,"€ 36,538 (£ 30,841, $37,665)","€ 1,900,000 (£ 1,603,745, $1,958,577)",Unverified estimation
147,Ko Itakura,jp JPN,DF,Gladbach,27,"€ 36,346 (£ 30,679, $37,467)","€ 1,890,000 (£ 1,595,304, $1,948,269)",Unverified estimation
148,Denis Vavro,sk SVK,DF,Wolfsburg,28,"€ 36,346 (£ 30,679, $37,467)","€ 1,890,000 (£ 1,595,304, $1,948,269)",
149,Enzo Millot,fr FRA,"MF,FW",Stuttgart,22,"€ 36,346 (£ 30,679, $37,467)","€ 1,890,000 (£ 1,595,304, $1,948,269)",Unverified estimation
150,Maximilian Mittelstädt,de GER,DF,Stuttgart,27,"€ 36,346 (£ 30,679, $37,467)","€ 1,890,000 (£ 1,595,304, $1,948,269)",Unverified estimation
151,Lee Jae-sung,kr KOR,MF,Mainz 05,31,"€ 36,346 (£ 30,679, $37,467)","€ 1,890,000 (£ 1,595,304, $1,948,269)",Unverified estimation
152,Jonathan Burkardt,de GER,FW,Mainz 05,24,"€ 36,346 (£ 30,679, $37,467)","€ 1,890,000 (£ 1,595,304, $1,948,269)",Unverified estimation
153,Silvan Widmer,ch SUI,DF,Mainz 05,31,"€ 36,346 (£ 30,679, $37,467)","€ 1,890,000 (£ 1,595,304, $1,948,269)",Unverified estimation
154,Ivan Ordets,ua UKR,DF,Bochum,32,"€ 36,346 (£ 30,679, $37,467)","€ 1,890,000 (£ 1,595,304, $1,948,269)",
155,Hugo Larsson,,CM,Eint Frankfurt,20,"€ 36,346 (£ 30,679, $37,467)","€ 1,890,000 (£ 1,595,304, $1,948,269)",Unverified estimation
