Rk,Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages,Notes
402,Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,23,"€ 6,154 (£ 5,194, $6,344)","€ 320,000 (£ 270,104, $329,866)",Unverified estimation
403,Oualid El Hajjam,ma MAR,DF,Le Havre,33,"€ 6,154 (£ 5,194, $6,344)","€ 320,000 (£ 270,104, $329,866)",Unverified estimation
404,Alexandre Olliero,fr FRA,GK,Reims,28,"€ 6,154 (£ 5,194, $6,344)","€ 320,000 (£ 270,104, $329,866)",Unverified estimation
405,Malcolm Jeng,,CB,Reims,19,"€ 6,154 (£ 5,189, $6,888)","€ 320,000 (£ 269,821, $358,178)",Unverified estimation
406,Pape Diong,,DM,Strasbourg,18,"€ 6,154 (£ 5,194, $6,344)","€ 320,000 (£ 270,104, $329,866)",Unverified estimation
407,Grégoire Coudert,fr FRA,GK,Brest,25,"€ 6,154 (£ 5,194, $6,344)","€ 320,000 (£ 270,104, $329,866)",Unverified estimation
408,Bamo Meïté,,CB,Montpellier,23,"€ 5,769 (£ 4,865, $6,458)","€ 300,000 (£ 252,958, $335,792)",Unverified estimation
409,Khalil Fayad,,CM,Montpellier,20,"€ 5,769 (£ 4,870, $5,947)","€ 300,000 (£ 253,223, $309,249)",Unverified estimation
410,Kjetil Haug,no NOR,GK,Toulouse,26,"€ 5,769 (£ 4,914, $6,432)","€ 300,000 (£ 255,513, $334,472)",Unverified estimation
411,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,24,"€ 5,769 (£ 4,870, $5,947)","€ 300,000 (£ 253,223, $309,249)",Unverified estimation
412,Emran Soglo,,LM,Marseille,19,"€ 5,769 (£ 4,870, $5,947)","€ 300,000 (£ 253,223, $309,249)",Unverified estimation
413,Paul Joly,fr FRA,DF,Auxerre,24,"€ 5,769 (£ 4,870, $5,947)","€ 300,000 (£ 253,223, $309,249)",Unverified estimation
414,Arthur Desmas,fr FRA,GK,Le Havre,30,"€ 5,769 (£ 4,870, $5,947)","€ 300,000 (£ 253,223, $309,249)",Unverified estimation
415,Josué Casimir,fr FRA,"FW,MF",Le Havre,22,"€ 5,769 (£ 4,870, $5,947)","€ 300,000 (£ 253,223, $309,249)",Unverified estimation
416,Robin Risser,,GK,Strasbourg,19,"€ 5,769 (£ 4,870, $5,947)","€ 300,000 (£ 253,223, $309,249)",Unverified estimation
417,Mahdi Camara,fr FRA,"MF,FW",Brest,26,"€ 5,769 (£ 4,870, $5,947)","€ 300,000 (£ 253,223, $309,249)",Unverified estimation
418,Ayman Kari,,CM,Paris S-G,19,"€ 5,769 (£ 4,870, $5,947)","€ 300,000 (£ 253,223, $309,249)",Unverified estimation
419,Hiroki Sekine,,RB,Reims,22,"€ 5,385 (£ 4,540, $6,027)","€ 280,000 (£ 236,094, $313,406)",Unverified estimation
420,Ayanda Sishuba,,AM,Rennes,20,"€ 5,385 (£ 4,540, $6,027)","€ 280,000 (£ 236,094, $313,406)",Unverified estimation
421,Juma Bah,,CB,Lens,18,"€ 5,385 (£ 4,540, $6,027)","€ 280,000 (£ 236,094, $313,406)",Unverified estimation
422,Bilal Nadir,ma MAR,MF,Marseille,20,"€ 5,192 (£ 4,383, $5,352)","€ 270,000 (£ 227,901, $278,324)",Unverified estimation
423,Oussama Targhalline,ma MAR,MF,Le Havre,22,"€ 5,192 (£ 4,383, $5,352)","€ 270,000 (£ 227,901, $278,324)",Unverified estimation
424,Abdoulaye Bamba,ci CIV,DF,Angers,34,"€ 5,192 (£ 4,383, $5,352)","€ 270,000 (£ 227,901, $278,324)",Unverified estimation
425,Esteban Lepaul,,CF,Angers,24,"€ 5,192 (£ 4,383, $5,352)","€ 270,000 (£ 227,901, $278,324)",Unverified estimation
426,Dion Moise Sahi,ci CIV,CF,Strasbourg,23,"€ 5,192 (£ 4,383, $5,352)","€ 270,000 (£ 227,901, $278,324)",Unverified estimation
427,Ayyoub Bouaddi,,CM,Lille,16,"€ 5,192 (£ 4,383, $5,352)","€ 270,000 (£ 227,901, $278,324)",Unverified estimation
